Date,Open,High,Low,Close,Volume
2024-12-09,112.5,114.0,111.0,112.0,1555001.0
2024-12-10,113.0,113.0,109.0,109.0,1005887.0
2024-12-11,109.0,111.0,108.0,111.0,620291.0
2024-12-12,112.0,113.0,108.0,108.0,631075.0
2024-12-13,107.5,108.5,105.0,106.5,849250.0
2024-12-16,108.0,108.0,105.0,105.5,528889.0
2024-12-17,105.5,110.0,105.5,107.5,653541.0
2024-12-18,107.0,109.5,106.0,109.5,439050.0
2024-12-19,107.0,112.0,107.0,112.0,563370.0
2024-12-20,111.0,111.5,107.5,107.5,520227.0
2024-12-23,108.5,110.5,108.0,109.0,243240.0
2024-12-24,110.0,112.0,110.0,110.0,392001.0
2024-12-25,111.0,112.5,110.5,110.5,271096.0
2024-12-26,111.5,111.5,110.0,110.5,329040.0
2024-12-27,111.0,111.0,108.5,109.0,310142.0
2024-12-30,109.5,110.5,108.0,109.0,195100.0
2024-12-31,108.5,110.5,108.5,110.0,201010.0
2025-01-02,110.0,115.0,110.0,112.5,711100.0
2025-01-03,114.0,116.5,110.5,113.0,953110.0
2025-01-06,113.0,113.0,111.0,112.0,364003.0
2025-01-07,113.0,115.5,113.0,114.5,466063.0
2025-01-08,118.0,119.5,114.0,117.0,1153999.0
2025-01-09,116.0,119.0,115.0,116.0,692501.0
2025-01-10,116.5,116.5,113.0,114.0,396050.0
2025-01-13,114.0,114.0,109.0,110.5,496001.0
2025-01-14,112.0,112.5,110.0,112.5,269269.0
2025-01-15,113.0,113.0,110.0,110.0,245283.0
2025-01-16,111.5,112.5,110.0,112.0,254035.0
2025-01-17,111.5,112.0,110.0,110.0,161002.0
2025-01-20,110.5,112.5,109.5,111.0,305434.0
2025-01-21,111.0,111.5,110.5,111.0,150008.0
2025-01-22,112.0,114.5,111.5,114.5,352029.0
2025-02-03,112.0,112.0,109.5,111.5,356122.0
2025-02-04,111.5,116.0,111.5,114.0,451105.0
2025-02-05,115.5,120.5,115.0,119.5,970632.0
2025-02-06,120.0,122.5,119.0,121.5,686011.0
2025-02-07,123.0,123.0,120.5,121.5,525533.0
2025-02-10,121.5,121.5,118.5,119.5,414545.0
2025-02-11,121.0,121.5,117.5,118.0,320303.0
2025-02-12,118.0,119.0,115.5,116.0,375096.0
2025-02-13,117.5,122.0,117.0,118.0,519200.0
2025-02-14,119.0,119.0,116.0,116.5,243247.0
2025-02-17,118.0,118.5,117.0,117.0,221040.0
2025-02-18,117.5,120.0,117.5,119.5,311155.0
2025-02-19,120.5,122.0,119.0,119.0,484067.0
2025-02-20,119.5,121.0,118.5,120.5,420497.0
2025-02-21,121.5,121.5,119.0,120.0,421300.0
2025-02-24,118.5,120.5,118.5,119.5,214499.0
2025-02-25,120.0,127.0,119.5,120.0,1857075.0
2025-02-26,118.5,122.5,117.5,121.5,917300.0
2025-02-27,123.5,133.0,122.5,130.5,3908980.0
2025-03-03,125.0,133.0,125.0,125.5,2661079.0
2025-03-04,127.5,138.0,127.0,138.0,6235396.0
2025-03-05,135.5,142.0,133.0,134.5,7522236.0
2025-03-06,140.0,146.0,138.0,138.0,7557245.0
2025-03-07,134.0,139.0,130.0,130.0,3796359.0
2025-03-10,131.0,131.5,126.5,128.0,1559093.0
2025-03-11,123.5,128.5,122.5,122.5,2521659.0
2025-03-12,124.0,128.0,122.0,127.0,1771035.0
2025-03-13,126.5,127.0,121.0,121.5,1368220.0
2025-03-14,121.5,121.5,118.0,120.0,1038014.0
2025-03-17,123.0,123.0,119.5,120.0,410168.0
2025-03-18,120.5,120.5,118.0,118.5,546064.0
2025-03-19,118.5,119.5,111.0,111.5,2065619.0
2025-03-20,113.0,115.0,112.0,113.5,1109022.0
2025-03-21,115.0,116.5,113.0,113.0,795088.0
2025-03-24,113.5,114.0,110.0,110.0,744306.0
2025-03-25,111.0,111.5,109.5,109.5,497072.0
2025-03-26,110.5,111.5,109.5,111.5,396297.0
2025-03-27,110.0,110.0,108.0,108.0,562108.0
2025-03-28,107.0,107.0,103.0,104.0,1016429.0
2025-03-31,99.3000030517578,101.0,94.1999969482422,96.0,1985200.0
2025-04-01,98.4000015258789,101.0,97.3000030517578,100.5,684011.0
2025-04-02,100.5,102.0,98.6999969482422,102.0,451020.0
2025-04-07,91.8000030517578,91.8000030517578,91.8000030517578,91.8000030517578,39184.0
2025-04-08,82.69999694824219,82.69999694824219,82.69999694824219,82.69999694824219,390233.0
2025-04-09,75.0,77.5,74.5,74.5,2310959.0
2025-04-10,81.9000015258789,81.9000015258789,81.9000015258789,81.9000015258789,268000.0
2025-04-11,77.5,83.80000305175781,75.5999984741211,83.69999694824219,858000.0
2025-04-14,87.19999694824219,90.1999969482422,86.0,87.5,744168.0
2025-04-15,89.80000305175781,90.9000015258789,87.5999984741211,90.1999969482422,473100.0
2025-04-16,89.4000015258789,90.3000030517578,87.5,88.0,378003.0
2025-04-17,87.30000305175781,88.4000015258789,85.69999694824219,88.0999984741211,252300.0
2025-04-18,88.4000015258789,88.5999984741211,86.69999694824219,87.19999694824219,209004.0
2025-04-21,86.80000305175781,87.69999694824219,84.0,84.0,299027.0
2025-04-22,82.0999984741211,84.80000305175781,82.0999984741211,82.5,420001.0
2025-04-23,84.30000305175781,85.9000015258789,84.0,85.69999694824219,380120.0
2025-04-24,86.0,86.4000015258789,84.80000305175781,86.19999694824219,216001.0
2025-04-25,88.5,89.30000305175781,87.9000015258789,88.69999694824219,294031.0
2025-04-28,89.5,91.1999969482422,88.80000305175781,90.5,251000.0
2025-04-29,91.0999984741211,92.5,90.5,91.4000015258789,256000.0
2025-04-30,91.5999984741211,92.8000030517578,88.80000305175781,88.80000305175781,456002.0
2025-05-02,90.0999984741211,91.0,90.0999984741211,91.0,306012.0
2025-05-05,91.0999984741211,91.3000030517578,84.5,86.4000015258789,404801.0
2025-05-06,85.4000015258789,87.0999984741211,85.4000015258789,86.5,161020.0
2025-05-07,86.5,86.80000305175781,85.0,86.0,197000.0
2025-05-08,86.0,87.80000305175781,86.0,87.30000305175781,219050.0
2025-05-09,88.19999694824219,88.5999984741211,86.69999694824219,87.5,146300.0
2025-05-12,88.4000015258789,90.5999984741211,88.4000015258789,90.5999984741211,308126.0
2025-05-13,92.5,92.6999969482422,90.3000030517578,90.5,312001.0
2025-05-14,90.8000030517578,94.0,90.8000030517578,92.8000030517578,378304.0
2025-05-15,92.9000015258789,93.5999984741211,91.0999984741211,91.5,208006.0
2025-05-16,91.5,92.0999984741211,90.6999969482422,90.6999969482422,192200.0
2025-05-19,90.4000015258789,90.6999969482422,89.30000305175781,89.5,159050.0
2025-05-20,90.8000030517578,90.8000030517578,89.19999694824219,89.5999984741211,104000.0
2025-05-21,89.69999694824219,91.6999969482422,89.69999694824219,91.4000015258789,152063.0
2025-05-22,91.8000030517578,91.8000030517578,90.3000030517578,90.5,157100.0
2025-05-23,92.5,96.5,91.5999984741211,94.0999984741211,893200.0
2025-05-26,94.0999984741211,96.4000015258789,93.6999969482422,96.0,367050.0
2025-05-27,96.1999969482422,96.9000015258789,93.8000030517578,94.6999969482422,407167.0
2025-05-28,96.0999984741211,96.0999984741211,93.1999969482422,94.1999969482422,196010.0
2025-05-29,95.6999969482422,95.6999969482422,93.0,94.6999969482422,190100.0
2025-06-02,94.5999984741211,94.5999984741211,92.1999969482422,94.0999984741211,256001.0
2025-06-03,94.4000015258789,95.0,93.6999969482422,94.1999969482422,166000.0
2025-06-04,95.5,97.4000015258789,95.1999969482422,97.3000030517578,369024.0
2025-06-05,97.5999984741211,98.1999969482422,96.6999969482422,97.0999984741211,150102.0
2025-06-06,95.0,95.0,92.8000030517578,94.1999969482422,534077.0
2025-06-09,94.3000030517578,94.3000030517578,92.1999969482422,93.4000015258789,332001.0
2025-06-10,94.0,94.8000030517578,93.5999984741211,94.8000030517578,128001.0
2025-06-11,95.8000030517578,95.8000030517578,94.5,95.5,100000.0
2025-06-12,95.0,95.6999969482422,94.3000030517578,95.0,133000.0
2025-06-13,94.3000030517578,94.4000015258789,91.5,93.1999969482422,387025.0
2025-06-16,92.5999984741211,94.6999969482422,92.4000015258789,94.6999969482422,129061.0
2025-06-17,95.5,95.5,93.6999969482422,93.9000015258789,79055.0
2025-06-18,94.0,95.0,94.0,94.0,73011.0
2025-06-19,93.5,93.6999969482422,92.1999969482422,92.6999969482422,182076.0
2025-06-20,92.1999969482422,93.0,90.4000015258789,91.0999984741211,183466.0
2025-06-23,89.9000015258789,91.6999969482422,89.0,91.0999984741211,111001.0
2025-06-24,92.0,93.1999969482422,92.0,93.1999969482422,79121.0
2025-06-25,93.5999984741211,93.6999969482422,92.0999984741211,92.0999984741211,99004.0
2025-06-26,92.8000030517578,93.0999984741211,91.5,91.5,95036.0
2025-06-27,91.5,92.1999969482422,90.6999969482422,91.1999969482422,105001.0
2025-06-30,91.3000030517578,91.3000030517578,89.0999984741211,89.80000305175781,157000.0
2025-07-01,89.5999984741211,91.0999984741211,89.30000305175781,89.5,173040.0
2025-07-02,89.0999984741211,90.0,89.0,89.5,141682.0
2025-07-03,90.0999984741211,91.4000015258789,90.0999984741211,91.0,128025.0
2025-07-04,91.0,91.0,88.0999984741211,88.19999694824219,220000.0
2025-07-07,88.0,88.0,86.30000305175781,87.19999694824219,168005.0
2025-07-08,86.0999984741211,86.19999694824219,84.80000305175781,86.0999984741211,149171.0
2025-07-09,86.19999694824219,87.5,86.19999694824219,87.19999694824219,45011.0
2025-07-10,87.19999694824219,87.5999984741211,85.69999694824219,87.0,104101.0
2025-07-11,86.5,88.69999694824219,86.5,88.0999984741211,137001.0
2025-07-14,88.5999984741211,88.5999984741211,87.5,87.5999984741211,80001.0
2025-07-15,87.30000305175781,88.9000015258789,87.30000305175781,88.30000305175781,88014.0
2025-07-16,88.0,88.80000305175781,87.5,87.5,186001.0
2025-07-17,88.5,89.0,87.5,88.80000305175781,426001.0
2025-07-18,89.69999694824219,90.4000015258789,88.69999694824219,88.9000015258789,154001.0
2025-07-21,89.9000015258789,90.6999969482422,88.9000015258789,89.0999984741211,157034.0
2025-07-22,90.0999984741211,90.0999984741211,86.30000305175781,86.30000305175781,288203.0
2025-07-23,86.69999694824219,87.80000305175781,86.69999694824219,87.0,389000.0
2025-07-24,87.30000305175781,87.80000305175781,86.80000305175781,87.4000015258789,273021.0
2025-07-25,87.5,88.0,86.9000015258789,87.69999694824219,338000.0
2025-07-28,89.0999984741211,89.0999984741211,87.4000015258789,88.0999984741211,290000.0
2025-07-29,87.80000305175781,88.19999694824219,86.5,87.30000305175781,298240.0
2025-07-30,84.0999984741211,85.5,84.0999984741211,85.5,203002.0
2025-07-31,85.5,85.69999694824219,84.0999984741211,84.0999984741211,181000.0
2025-08-04,84.80000305175781,86.0999984741211,83.69999694824219,85.69999694824219,158065.0
2025-08-05,85.80000305175781,87.5,85.80000305175781,86.80000305175781,174033.0
2025-08-06,87.5,87.5,86.5,86.9000015258789,104001.0
2025-08-07,86.5,87.9000015258789,86.4000015258789,86.5,157044.0
2025-08-08,87.5,88.30000305175781,86.69999694824219,87.0999984741211,314500.0
2025-08-11,84.0999984741211,84.0999984741211,81.80000305175781,83.0,495362.0
2025-08-12,83.0999984741211,84.19999694824219,82.69999694824219,83.0999984741211,147022.0
2025-08-13,83.80000305175781,84.5,82.0,83.0,320390.0
2025-08-14,83.30000305175781,85.30000305175781,83.30000305175781,84.5999984741211,212102.0
2025-08-15,84.69999694824219,84.69999694824219,83.30000305175781,83.5,202049.0
2025-08-18,83.30000305175781,84.4000015258789,83.0,83.5,117000.0
2025-08-19,84.0999984741211,84.5,83.19999694824219,83.9000015258789,137002.0
2025-08-20,83.69999694824219,83.69999694824219,81.30000305175781,81.30000305175781,480020.0
2025-08-21,82.0999984741211,84.19999694824219,82.0999984741211,82.80000305175781,207001.0
2025-08-22,82.5999984741211,83.0999984741211,82.5,82.5,71409.0
2025-08-25,83.9000015258789,85.30000305175781,83.5,84.4000015258789,258101.0
2025-08-26,84.4000015258789,87.5,83.0999984741211,87.0999984741211,366031.0
2025-08-27,87.0999984741211,87.69999694824219,86.5999984741211,87.5,181000.0
2025-08-28,87.4000015258789,87.80000305175781,86.5999984741211,87.5,168001.0
2025-08-29,87.9000015258789,89.19999694824219,87.0,89.19999694824219,314501.0
2025-09-01,89.0,89.9000015258789,87.0,88.19999694824219,271000.0
2025-09-02,88.19999694824219,89.30000305175781,86.69999694824219,87.5999984741211,126100.0
2025-09-03,87.69999694824219,88.69999694824219,87.4000015258789,87.9000015258789,120000.0
2025-09-04,88.0999984741211,88.4000015258789,87.19999694824219,87.30000305175781,130100.0
2025-09-05,87.0999984741211,88.19999694824219,87.0,87.0999984741211,111060.0
2025-09-08,86.30000305175781,87.5,85.19999694824219,86.5999984741211,201001.0
2025-09-09,87.5999984741211,87.5999984741211,85.5,85.80000305175781,153000.0
2025-09-10,85.80000305175781,87.0,85.80000305175781,86.4000015258789,185001.0
2025-09-11,86.4000015258789,87.9000015258789,86.0999984741211,86.19999694824219,274001.0
2025-09-12,87.19999694824219,89.0,87.0,87.5999984741211,224004.0
2025-09-15,86.9000015258789,87.5999984741211,86.5,86.9000015258789,127010.0
2025-09-16,87.0,87.9000015258789,86.69999694824219,87.80000305175781,172290.0
2025-09-17,87.5999984741211,89.0,86.69999694824219,86.69999694824219,209002.0
2025-09-18,87.19999694824219,88.5999984741211,87.19999694824219,87.69999694824219,196002.0
2025-09-19,87.5999984741211,88.19999694824219,86.80000305175781,86.9000015258789,264100.0
2025-09-22,87.0,88.5999984741211,86.9000015258789,87.9000015258789,219002.0
2025-09-23,88.0,88.0,86.9000015258789,86.9000015258789,181350.0
2025-09-24,86.9000015258789,87.0,84.0,84.0,447047.0
2025-09-25,84.0,85.5,83.5,84.0,204001.0
2025-09-26,84.0,84.0,81.0999984741211,81.30000305175781,596239.0
2025-09-30,81.5999984741211,83.4000015258789,81.5,82.0,154000.0
2025-10-01,82.19999694824219,83.0999984741211,82.19999694824219,82.5,92020.0
2025-10-02,82.5,82.80000305175781,81.80000305175781,82.0999984741211,148392.0
2025-10-03,82.0999984741211,82.4000015258789,81.69999694824219,81.9000015258789,120325.0
2025-10-07,82.30000305175781,82.69999694824219,81.4000015258789,82.4000015258789,108001.0
2025-10-08,82.30000305175781,82.5,81.80000305175781,81.80000305175781,102000.0
2025-10-09,82.0,82.4000015258789,81.5,81.5,179658.0
2025-10-13,80.69999694824219,82.0,78.0,81.5999984741211,292066.0
2025-10-14,82.5999984741211,85.5,81.19999694824219,81.5,258007.0
2025-10-15,82.5999984741211,83.19999694824219,82.0999984741211,82.69999694824219,91000.0
2025-10-16,83.9000015258789,87.80000305175781,83.5,85.80000305175781,473170.0
2025-10-17,85.0,85.69999694824219,84.19999694824219,84.19999694824219,138633.0
2025-10-20,84.0999984741211,84.5,83.30000305175781,83.80000305175781,112000.0
2025-10-21,84.0,85.0,84.0,84.5999984741211,117300.0
2025-10-22,84.5,85.0999984741211,84.5,84.69999694824219,75802.0
2025-10-23,84.69999694824219,84.9000015258789,83.80000305175781,84.0,79001.0
2025-10-27,84.30000305175781,84.4000015258789,83.0999984741211,83.9000015258789,107195.0
2025-10-28,83.9000015258789,84.69999694824219,83.5999984741211,83.80000305175781,114000.0
2025-10-29,83.4000015258789,85.5,83.4000015258789,85.30000305175781,133200.0
2025-10-30,85.9000015258789,86.9000015258789,85.4000015258789,85.5,318004.0
2025-10-31,86.0,86.0,84.0999984741211,84.19999694824219,105400.0
2025-11-03,84.0999984741211,87.30000305175781,83.69999694824219,87.0999984741211,397062.0
2025-11-04,87.19999694824219,87.4000015258789,84.19999694824219,84.4000015258789,283501.0
2025-11-05,84.80000305175781,84.80000305175781,82.30000305175781,82.9000015258789,241000.0
2025-11-06,83.69999694824219,84.4000015258789,83.0,83.4000015258789,74200.0
2025-11-07,81.19999694824219,81.4000015258789,77.69999694824219,78.5,854246.0
2025-11-10,78.5,78.5,76.4000015258789,76.5999984741211,390200.0
2025-11-11,76.80000305175781,78.4000015258789,76.0,76.0,264319.0
2025-11-12,76.0999984741211,78.19999694824219,76.0999984741211,78.0,140000.0
2025-11-13,78.80000305175781,81.4000015258789,78.80000305175781,79.69999694824219,315004.0
2025-11-14,78.19999694824219,80.30000305175781,78.19999694824219,78.9000015258789,167002.0
2025-11-17,78.5,78.80000305175781,77.5,77.80000305175781,114004.0
2025-11-18,77.5999984741211,77.5999984741211,75.5999984741211,75.80000305175781,242000.0
2025-11-19,76.19999694824219,76.80000305175781,75.0,75.0,169204.0
2025-11-20,76.0999984741211,76.9000015258789,75.5999984741211,76.4000015258789,102100.0
2025-11-21,76.30000305175781,77.30000305175781,75.0999984741211,76.5,178001.0
2025-11-24,76.5,77.0,75.80000305175781,76.0,104002.0
2025-11-25,77.0,78.0,76.80000305175781,77.30000305175781,84004.0
2025-11-26,77.4000015258789,79.0999984741211,77.4000015258789,78.9000015258789,82000.0
2025-11-27,78.19999694824219,78.69999694824219,78.19999694824219,78.69999694824219,54001.0
2025-11-28,79.0999984741211,81.0,78.5999984741211,80.80000305175781,149051.0
2025-12-01,80.80000305175781,81.80000305175781,80.5999984741211,81.0999984741211,126003.0
2025-12-02,83.80000305175781,84.4000015258789,82.5999984741211,83.5,366008.0
2025-12-03,83.5,84.80000305175781,83.30000305175781,83.5,280000.0
2025-12-04,84.30000305175781,84.9000015258789,82.0,82.69999694824219,235001.0
2025-12-05,82.5,82.5999984741211,81.19999694824219,81.5999984741211,173001.0
2025-12-08,82.30000305175781,83.80000305175781,81.69999694824219,82.30000305175781,169016.0
2025-12-09,82.19999694824219,82.80000305175781,81.5,82.5,88110.0
2025-12-10,82.0999984741211,83.5999984741211,82.0999984741211,83.5999984741211,128007.0
2025-12-11,83.5,84.80000305175781,83.4000015258789,84.0999984741211,215107.0
2025-12-12,85.0,85.9000015258789,83.9000015258789,84.0,246005.0
2025-12-15,83.5999984741211,85.5,83.5,85.0,158003.0
2025-12-16,84.4000015258789,85.5,84.4000015258789,85.5,142002.0
2025-12-17,85.5,87.30000305175781,84.80000305175781,84.80000305175781,222015.0
2025-12-18,84.9000015258789,85.0999984741211,83.4000015258789,83.4000015258789,140056.0
2025-12-19,83.69999694824219,85.0,83.69999694824219,84.30000305175781,67004.0
2025-12-22,84.5,85.0,84.19999694824219,85.0,94002.0
2025-12-23,84.80000305175781,85.5999984741211,84.19999694824219,84.69999694824219,84013.0
2025-12-24,85.19999694824219,85.69999694824219,84.5999984741211,84.5999984741211,50000.0
2025-12-26,85.0,85.5999984741211,83.5999984741211,85.5999984741211,166081.0
2025-12-29,85.5,88.4000015258789,85.5,87.69999694824219,367463.0
2025-12-30,87.19999694824219,92.0,87.19999694824219,91.5999984741211,619850.0
2025-12-31,91.9000015258789,92.9000015258789,91.0999984741211,91.0999984741211,369005.0
2026-01-02,91.9000015258789,91.9000015258789,89.80000305175781,90.0999984741211,233300.0
2026-01-05,90.3000030517578,90.9000015258789,87.19999694824219,87.19999694824219,254005.0
2026-01-06,87.30000305175781,87.5999984741211,85.80000305175781,85.9000015258789,212329.0
2026-01-07,86.0,87.0999984741211,86.0,86.80000305175781,111010.0
2026-01-08,91.5999984741211,93.0,88.5999984741211,89.5,765310.0
2026-01-09,89.5999984741211,89.5999984741211,86.80000305175781,87.19999694824219,305101.0
